Date,Temperature(M),Temperature(L),Temperature(H)
2021-01-07,-7.2,-10.9,-0.9
2021-01-08,-8.7,-12.2,-4.5
2021-01-09,-6.4,-10.6,-2
2021-01-10,-3.2,-8.7,1.9
2021-01-11,-1.1,-5.1,3
2021-01-12,0.1,-4.9,5.8
2021-01-13,5.9,-3.3,11.6
2021-01-14,6.8,0.2,13.2
2021-01-15,10.8,2.8,16.3
2021-01-16,3.5,-0.9,13.3
2021-01-17,-1.7,-4.1,1.5
2021-01-18,0.7,-4.1,5.5
2021-01-19,-1.9,-6.4,3.7
2021-01-20,3.6,-3.7,10.1
2021-01-21,7.4,-1.3,13.6
2021-01-22,9.5,7.1,11.2
2021-01-23,10.1,9.4,11.5
2021-01-24,8.9,8,9.9
2021-01-25,8.8,7.5,11.3
2021-01-26,6.7,5.4,8.9
2021-01-27,5.6,2.9,10.4
2021-01-28,3.1,-3.6,11.9
2021-01-29,-3.5,-7,0.2
2021-01-30,2.5,-6.4,9.7
2021-01-31,6.9,-0.3,11.7
2021-02-01,10.6,9,13.1
2021-02-02,0.9,-3.5,9.2
2021-02-03,-0.2,-4.6,5.1
2021-02-04,3.6,0.6,7.6
2021-02-05,5.3,-1.3,11
2021-02-06,8.7,0.7,15.5
2021-02-07,9,4,14.7
2021-02-08,1.5,-2.2,7.1
2021-02-09,2.1,-3.8,8.1
2021-02-10,6.2,-0.1,12.4
2021-02-11,6.9,2.9,11.8
2021-02-12,9.3,4,16
2021-02-13,10.6,3.6,18.7
2021-02-14,10.8,7.1,13.4
2021-02-15,8,0.6,14.1
2021-02-16,1.1,-3.2,6.9
2021-02-17,-3.9,-5.9,-0.8
2021-02-18,-3.9,-7.9,0.6
2021-02-19,5.1,-4.1,13.1
2021-02-20,13.3,7,19.8
2021-02-21,16.6,10.1,23.4
2021-02-22,16.5,10,23.9
2021-02-23,6.2,1.7,12.6
2021-02-24,6,2.6,10.7
2021-02-25,7.1,2.4,11.4
2021-02-26,8.8,6.4,11.4
2021-02-27,7,5.7,8.3
2021-02-28,9.7,3.6,14.4
2021-03-01,11.3,4.1,16
2021-03-02,2.5,0.5,5.1
2021-03-03,4.7,-0.8,9.4
2021-03-04,8.3,2.7,13.7
2021-03-05,11.5,8,17.1
2021-03-06,6.9,3.6,12.3
2021-03-07,5.2,3.2,8.7
2021-03-08,6.2,0.8,12
2021-03-09,8.8,3.3,15.1
2021-03-10,8.6,4.3,12.5
2021-03-11,9.3,2,15.4
2021-03-12,9.4,8.1,11.3
2021-03-13,9.8,7.4,13.9
2021-03-14,10.5,4.9,17
2021-03-15,12.8,5.5,18.2
2021-03-16,15.3,8.5,21.6
2021-03-17,10,5.6,14.9
2021-03-18,9.8,5.4,13.8
2021-03-19,10.9,9.2,14.4
2021-03-20,10.3,9,11.8
2021-03-21,9.7,5.3,13.2
2021-03-22,7.7,3.6,12.9
2021-03-23,11.8,3.8,18.1
2021-03-24,13.2,7.1,18.5
2021-03-25,13.5,9.1,19.5
2021-03-26,14.6,9.8,20.8
2021-03-27,13.5,7.8,18
2021-03-28,17.4,13.6,21.9
2021-03-29,16.3,13,20.1
2021-03-30,13.1,9.2,20.5
2021-03-31,12.4,6.1,19.1
2021-04-01,13.4,10.2,16.8
2021-04-02,13.9,11.9,18.4
2021-04-03,14.7,10.6,19.8
2021-04-04,9.9,8.2,13.4
2021-04-05,10.1,5.2,14.7
2021-04-06,11.8,4.5,19.1
2021-04-07,14.7,11.4,19.2
2021-04-08,12.9,9.8,18.1
2021-04-09,9,6.6,13.8
2021-04-10,8.9,3.1,14.1
2021-04-11,12.1,4.8,18.8
2021-04-12,13.2,9.6,15.8
2021-04-13,16.9,10.1,21
2021-04-14,10.4,6.5,16.8
2021-04-15,11.3,5.7,16.6
2021-04-16,14.4,6.3,21.1
2021-04-17,13.9,9.2,19.3
2021-04-18,11.8,7.3,17.2
2021-04-19,17.1,9.5,23.6
2021-04-20,17.5,12.5,25.2
2021-04-21,17.3,10.3,25.7
2021-04-22,18.2,12.7,25.4
2021-04-23,15.4,13,18.5
2021-04-24,14.7,11.4,18.4
2021-04-25,13.4,10.4,17
2021-04-26,11.9,6.4,17.1
2021-04-27,14.9,7.6,19.5
2021-04-28,18.5,14.4,23.9
2021-04-29,15.7,12.7,20.3
2021-04-30,16.8,12.2,22.8
2021-05-01,12.2,9.7,15.2
2021-05-02,12.5,8.3,17.7
2021-05-03,15.5,7.2,23.4
2021-05-04,17.2,12,20.8
